Linux 5.10.120-tegra (orin-desktop) 	2024년 09월 30일 	_aarch64_	(6 CPU)

17시 08분 19초   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17시 08분 20초  1000   2316644  18258.00      0.00 13748708 3360976  50.65  python3
17시 08분 21초  1000   2316644    213.00      0.00 13748708 3361784  50.66  python3
17시 08분 22초  1000   2316644     96.00      0.00 13748708 3362048  50.66  python3
17시 08분 23초  1000   2316644     39.00      0.00 13748708 3362100  50.66  python3
17시 08분 24초  1000   2316644     34.00      0.00 13748708 3362100  50.66  python3
17시 08분 25초  1000   2316644     36.00      0.00 13748708 3362164  50.67  python3
17시 08분 26초  1000   2316644    299.00      0.00 13748708 3363232  50.68  python3
17시 08분 27초  1000   2316644  17689.00      0.00 13778708 3404528  51.30  python3
17시 08분 28초  1000   2316644    534.00      0.00 13778708 3406340  51.33  python3
17시 08분 29초  1000   2316644     60.00      0.00 13778708 3406372  51.33  python3
17시 08분 30초  1000   2316644     34.00      0.00 13778708 3406372  51.33  python3
17시 08분 31초  1000   2316644     31.00      0.00 13778708 3406388  51.33  python3
17시 08분 32초  1000   2316644     51.00      0.00 13778708 3406440  51.33  python3
17시 08분 33초  1000   2316644     42.00      0.00 13778708 3406440  51.33  python3
17시 08분 34초  1000   2316644  15049.00      0.00 13808964 3437308  51.80  python3
17시 08분 35초  1000   2316644    304.00      0.00 13808964 3438364  51.81  python3
17시 08분 36초  1000   2316644     86.00      0.00 13808964 3438636  51.82  python3
17시 08분 37초  1000   2316644     88.00      0.00 13808964 3438948  51.82  python3
17시 08분 38초  1000   2316644    121.00      0.00 13808964 3439076  51.82  python3
17시 08분 39초  1000   2316644     42.00      0.00 13808964 3439152  51.83  python3
17시 08분 40초  1000   2316644     42.00      0.00 13808964 3439152  51.83  python3
17시 08분 41초  1000   2316644  35259.00      0.00 13518248 3198380  48.20  python3
17시 08분 42초  1000   2316644  39211.00      0.00       0       0   0.00  python3
