Linux 5.10.120-tegra (orin-desktop) 	2024년 09월 30일 	_aarch64_	(6 CPU)

17시 06분 38초   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17시 06분 39초  1000   2316420  19167.00      0.00 14067752 3371892  50.81  python3
17시 06분 40초  1000   2316420    144.00      0.00 14067752 3372156  50.82  python3
17시 06분 41초  1000   2316420     76.00      0.00 14067752 3372452  50.82  python3
17시 06분 42초  1000   2316420    124.00      0.00 14067752 3372652  50.82  python3
17시 06분 43초  1000   2316420     73.00      0.00 14067752 3372864  50.83  python3
17시 06분 44초  1000   2316420     31.00      0.00 14067752 3372864  50.83  python3
17시 06분 45초  1000   2316420   2895.00      0.00 14067752 3384248  51.00  python3
17시 06분 46초  1000   2316420  16622.00      0.00 14097752 3421744  51.56  python3
17시 06분 47초  1000   2316420   1057.00      0.00 14097752 3423288  51.59  python3
17시 06분 48초  1000   2316420     88.00      0.00 14097752 3423812  51.59  python3
17시 06분 49초  1000   2316420     42.00      0.00 14097752 3423852  51.59  python3
17시 06분 50초  1000   2316420     69.00      0.00 14097752 3423852  51.59  python3
17시 06분 51초  1000   2316420     29.00      0.00 14097752 3423908  51.60  python3
17시 06분 52초  1000   2316420     43.00      0.00 14097752 3423916  51.60  python3
17시 06분 53초  1000   2316420  15243.00      0.00 14128008 3455932  52.08  python3
17시 06분 54초  1000   2316420    249.00      0.00 14128008 3456460  52.09  python3
17시 06분 55초  1000   2316420     80.00      0.00 14128008 3456764  52.09  python3
17시 06분 56초  1000   2316420     70.00      0.00 14128008 3457024  52.09  python3
17시 06분 57초  1000   2316420     29.00      0.00 14128008 3457024  52.09  python3
17시 06분 58초  1000   2316420     50.00      0.00 14128008 3457076  52.10  python3
17시 06분 59초  1000   2316420    120.00      0.00 14128008 3457144  52.10  python3
17시 07분 00초  1000   2316420  34789.00      0.00 13837292 3216288  48.47  python3
17시 07분 01초  1000   2316420  40311.00      0.00       0       0   0.00  python3
